Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,262.200012,264.869995,260.839996,264.649994,264.107269,12822300
2020-10-06,261.779999,265.690002,258.239990,258.660004,258.129578,18696900
2020-10-07,259.209991,260.179993,254.820007,258.119995,257.590637,23133400
2020-10-08,259.750000,264.619995,259.149994,263.760010,263.219086,16312800
2020-10-09,264.519989,264.750000,262.170013,264.450012,263.907715,14107800
2020-10-12,270.200012,280.179993,267.869995,275.750000,275.184509,31019300
2020-10-13,277.579987,279.100006,273.390015,276.140015,275.573730,18063300
2020-10-14,277.619995,278.750000,271.500000,271.820007,271.262604,15577800
2020-10-15,267.600006,269.040009,263.670013,266.720001,266.173035,15416100
2020-10-16,267.380005,271.369995,265.299988,265.929993,265.384644,16622700
2020-10-19,265.529999,268.549988,259.880005,261.399994,260.863922,13587000
2020-10-20,263.059998,269.700012,262.880005,267.559998,267.011322,18763200
2020-10-21,279.559998,283.049988,276.369995,278.730011,278.158417,28998600
2020-10-22,279.869995,282.450012,275.040009,278.119995,277.549652,16720000
2020-10-23,278.799988,285.239990,276.820007,284.790009,284.205994,17535200
2020-10-26,283.160004,285.230011,274.260010,277.109985,276.541718,21322900
2020-10-27,278.760010,284.510010,276.309998,283.290009,282.709045,16287200
2020-10-28,278.790009,278.790009,267.260010,267.670013,267.121094,23121800
2020-10-29,276.549988,283.600006,273.779999,280.829987,280.254089,32368100
2020-10-30,274.500000,276.700012,259.100006,263.109985,262.570404,47247800
2020-11-02,264.600006,270.470001,257.339996,261.359985,260.824005,27165700
2020-11-03,263.160004,270.049988,260.880005,265.299988,264.755920,17961900
2020-11-04,281.000000,288.940002,278.619995,287.380005,286.790649,35364400
2020-11-05,291.899994,297.380005,288.950012,294.679993,294.075684,23823600
2020-11-06,293.950012,294.600006,288.059998,293.410004,292.808319,13891000
2020-11-09,289.869995,292.579987,278.529999,278.769989,278.198303,25117700
2020-11-10,273.100006,274.000000,264.000000,272.429993,271.871307,29067700
2020-11-11,273.470001,278.399994,272.480011,276.480011,275.913025,14957000
2020-11-12,277.179993,279.750000,274.429993,275.079987,274.515869,12899500
2020-11-13,277.720001,277.760010,273.100006,276.950012,276.382050,10391200
2020-11-16,275.049988,279.410004,274.630005,278.959991,278.387939,12970400
2020-11-17,277.679993,277.679993,273.290009,275.000000,274.436035,15040300
2020-11-18,274.519989,277.390015,271.839996,271.970001,271.412262,12152900
2020-11-19,271.019989,273.470001,269.190002,272.940002,272.380280,12963700
2020-11-20,272.559998,273.000000,269.410004,269.700012,269.146942,18114700
2020-11-23,270.890015,270.950012,264.529999,268.429993,267.879517,20990800
